,0
137,The MLE may be on the boundary of the parameter space.
138,Maximum Likelihood optimization failed to converge. Check mle_retvals
139,Retrying MixedLM optimization with lbfgs
140,The MLE may be on the boundary of the parameter space.
141,Maximum Likelihood optimization failed to converge. Check mle_retvals
142,Retrying MixedLM optimization with lbfgs
143,The MLE may be on the boundary of the parameter space.
144,Maximum Likelihood optimization failed to converge. Check mle_retvals
145,Retrying MixedLM optimization with lbfgs
146,The MLE may be on the boundary of the parameter space.
147,Maximum Likelihood optimization failed to converge. Check mle_retvals
148,Retrying MixedLM optimization with lbfgs
149,The MLE may be on the boundary of the parameter space.
150,Maximum Likelihood optimization failed to converge. Check mle_retvals
151,Retrying MixedLM optimization with lbfgs
152,The MLE may be on the boundary of the parameter space.
153,Maximum Likelihood optimization failed to converge. Check mle_retvals
154,Retrying MixedLM optimization with lbfgs
155,The MLE may be on the boundary of the parameter space.
156,Maximum Likelihood optimization failed to converge. Check mle_retvals
157,Retrying MixedLM optimization with lbfgs
158,The MLE may be on the boundary of the parameter space.
159,Maximum Likelihood optimization failed to converge. Check mle_retvals
160,Retrying MixedLM optimization with lbfgs
161,The MLE may be on the boundary of the parameter space.
162,Maximum Likelihood optimization failed to converge. Check mle_retvals
163,Retrying MixedLM optimization with lbfgs
164,The MLE may be on the boundary of the parameter space.
165,Maximum Likelihood optimization failed to converge. Check mle_retvals
166,Retrying MixedLM optimization with lbfgs
167,The MLE may be on the boundary of the parameter space.
168,Maximum Likelihood optimization failed to converge. Check mle_retvals
169,Retrying MixedLM optimization with lbfgs
170,The MLE may be on the boundary of the parameter space.
171,Maximum Likelihood optimization failed to converge. Check mle_retvals
172,Retrying MixedLM optimization with lbfgs
173,The MLE may be on the boundary of the parameter space.
174,Maximum Likelihood optimization failed to converge. Check mle_retvals
175,Retrying MixedLM optimization with lbfgs
176,The MLE may be on the boundary of the parameter space.
177,Maximum Likelihood optimization failed to converge. Check mle_retvals
178,Retrying MixedLM optimization with lbfgs
179,The MLE may be on the boundary of the parameter space.
180,Maximum Likelihood optimization failed to converge. Check mle_retvals
181,Retrying MixedLM optimization with lbfgs
182,The MLE may be on the boundary of the parameter space.
183,Maximum Likelihood optimization failed to converge. Check mle_retvals
184,Retrying MixedLM optimization with lbfgs
185,The MLE may be on the boundary of the parameter space.
186,Maximum Likelihood optimization failed to converge. Check mle_retvals
187,Retrying MixedLM optimization with lbfgs
188,The MLE may be on the boundary of the parameter space.
189,Maximum Likelihood optimization failed to converge. Check mle_retvals
190,Retrying MixedLM optimization with lbfgs
191,The MLE may be on the boundary of the parameter space.
192,Maximum Likelihood optimization failed to converge. Check mle_retvals
193,Retrying MixedLM optimization with lbfgs
194,The MLE may be on the boundary of the parameter space.
195,Maximum Likelihood optimization failed to converge. Check mle_retvals
196,Retrying MixedLM optimization with lbfgs
197,The MLE may be on the boundary of the parameter space.
198,Maximum Likelihood optimization failed to converge. Check mle_retvals
199,Retrying MixedLM optimization with lbfgs
200,The MLE may be on the boundary of the parameter space.
201,Maximum Likelihood optimization failed to converge. Check mle_retvals
202,Retrying MixedLM optimization with lbfgs
203,The MLE may be on the boundary of the parameter space.
204,Maximum Likelihood optimization failed to converge. Check mle_retvals
205,Retrying MixedLM optimization with lbfgs
206,The MLE may be on the boundary of the parameter space.
207,Maximum Likelihood optimization failed to converge. Check mle_retvals
208,Retrying MixedLM optimization with lbfgs
209,The MLE may be on the boundary of the parameter space.
210,Maximum Likelihood optimization failed to converge. Check mle_retvals
211,Retrying MixedLM optimization with lbfgs
212,The MLE may be on the boundary of the parameter space.
213,Maximum Likelihood optimization failed to converge. Check mle_retvals
214,Retrying MixedLM optimization with lbfgs
215,The MLE may be on the boundary of the parameter space.
216,Maximum Likelihood optimization failed to converge. Check mle_retvals
217,Retrying MixedLM optimization with lbfgs
218,The MLE may be on the boundary of the parameter space.
219,Maximum Likelihood optimization failed to converge. Check mle_retvals
220,Retrying MixedLM optimization with lbfgs
221,The MLE may be on the boundary of the parameter space.
222,Maximum Likelihood optimization failed to converge. Check mle_retvals
223,Retrying MixedLM optimization with lbfgs
224,The MLE may be on the boundary of the parameter space.
225,Maximum Likelihood optimization failed to converge. Check mle_retvals
226,Retrying MixedLM optimization with lbfgs
227,The MLE may be on the boundary of the parameter space.
228,Maximum Likelihood optimization failed to converge. Check mle_retvals
229,Retrying MixedLM optimization with lbfgs
230,The MLE may be on the boundary of the parameter space.
231,Maximum Likelihood optimization failed to converge. Check mle_retvals
232,Retrying MixedLM optimization with lbfgs
233,The MLE may be on the boundary of the parameter space.
234,Maximum Likelihood optimization failed to converge. Check mle_retvals
235,Retrying MixedLM optimization with lbfgs
236,The MLE may be on the boundary of the parameter space.
237,Maximum Likelihood optimization failed to converge. Check mle_retvals
238,Retrying MixedLM optimization with lbfgs
239,The MLE may be on the boundary of the parameter space.
240,Maximum Likelihood optimization failed to converge. Check mle_retvals
241,Retrying MixedLM optimization with lbfgs
242,The MLE may be on the boundary of the parameter space.
243,Maximum Likelihood optimization failed to converge. Check mle_retvals
244,Retrying MixedLM optimization with lbfgs
245,The MLE may be on the boundary of the parameter space.
246,Maximum Likelihood optimization failed to converge. Check mle_retvals
247,Retrying MixedLM optimization with lbfgs
248,The MLE may be on the boundary of the parameter space.
249,Maximum Likelihood optimization failed to converge. Check mle_retvals
250,Retrying MixedLM optimization with lbfgs
251,The MLE may be on the boundary of the parameter space.
252,Maximum Likelihood optimization failed to converge. Check mle_retvals
253,Retrying MixedLM optimization with lbfgs
254,The MLE may be on the boundary of the parameter space.
255,Maximum Likelihood optimization failed to converge. Check mle_retvals
256,Retrying MixedLM optimization with lbfgs
257,The MLE may be on the boundary of the parameter space.
258,Maximum Likelihood optimization failed to converge. Check mle_retvals
259,Retrying MixedLM optimization with lbfgs
260,The MLE may be on the boundary of the parameter space.
261,Maximum Likelihood optimization failed to converge. Check mle_retvals
262,Retrying MixedLM optimization with lbfgs
263,The MLE may be on the boundary of the parameter space.
264,Maximum Likelihood optimization failed to converge. Check mle_retvals
265,Retrying MixedLM optimization with lbfgs
266,The MLE may be on the boundary of the parameter space.
267,Maximum Likelihood optimization failed to converge. Check mle_retvals
268,Retrying MixedLM optimization with lbfgs
269,The MLE may be on the boundary of the parameter space.
270,Maximum Likelihood optimization failed to converge. Check mle_retvals
271,Retrying MixedLM optimization with lbfgs
272,The MLE may be on the boundary of the parameter space.
273,Maximum Likelihood optimization failed to converge. Check mle_retvals
274,Retrying MixedLM optimization with lbfgs
275,The MLE may be on the boundary of the parameter space.
276,Maximum Likelihood optimization failed to converge. Check mle_retvals
277,Retrying MixedLM optimization with lbfgs
278,The MLE may be on the boundary of the parameter space.
279,Maximum Likelihood optimization failed to converge. Check mle_retvals
280,Retrying MixedLM optimization with lbfgs
281,The MLE may be on the boundary of the parameter space.
282,Maximum Likelihood optimization failed to converge. Check mle_retvals
283,Retrying MixedLM optimization with lbfgs
284,The MLE may be on the boundary of the parameter space.
285,Maximum Likelihood optimization failed to converge. Check mle_retvals
286,Retrying MixedLM optimization with lbfgs
287,The MLE may be on the boundary of the parameter space.
288,Maximum Likelihood optimization failed to converge. Check mle_retvals
289,Retrying MixedLM optimization with lbfgs
290,The MLE may be on the boundary of the parameter space.
291,Maximum Likelihood optimization failed to converge. Check mle_retvals
292,Retrying MixedLM optimization with lbfgs
293,The MLE may be on the boundary of the parameter space.
294,Maximum Likelihood optimization failed to converge. Check mle_retvals
295,Retrying MixedLM optimization with lbfgs
296,The MLE may be on the boundary of the parameter space.
297,Maximum Likelihood optimization failed to converge. Check mle_retvals
298,Retrying MixedLM optimization with lbfgs
299,The MLE may be on the boundary of the parameter space.
300,Maximum Likelihood optimization failed to converge. Check mle_retvals
301,Retrying MixedLM optimization with lbfgs
302,The MLE may be on the boundary of the parameter space.
303,Maximum Likelihood optimization failed to converge. Check mle_retvals
304,Retrying MixedLM optimization with lbfgs
305,The MLE may be on the boundary of the parameter space.
306,Maximum Likelihood optimization failed to converge. Check mle_retvals
307,Retrying MixedLM optimization with lbfgs
308,The MLE may be on the boundary of the parameter space.
309,Maximum Likelihood optimization failed to converge. Check mle_retvals
310,Retrying MixedLM optimization with lbfgs
311,The MLE may be on the boundary of the parameter space.
312,Maximum Likelihood optimization failed to converge. Check mle_retvals
313,Retrying MixedLM optimization with lbfgs
314,The MLE may be on the boundary of the parameter space.
315,Maximum Likelihood optimization failed to converge. Check mle_retvals
316,Retrying MixedLM optimization with lbfgs
317,The MLE may be on the boundary of the parameter space.
318,Maximum Likelihood optimization failed to converge. Check mle_retvals
319,Retrying MixedLM optimization with lbfgs
320,The MLE may be on the boundary of the parameter space.
321,Maximum Likelihood optimization failed to converge. Check mle_retvals
322,Retrying MixedLM optimization with lbfgs
323,The MLE may be on the boundary of the parameter space.
324,Maximum Likelihood optimization failed to converge. Check mle_retvals
325,Retrying MixedLM optimization with lbfgs
326,The MLE may be on the boundary of the parameter space.
327,Maximum Likelihood optimization failed to converge. Check mle_retvals
328,Retrying MixedLM optimization with lbfgs
329,The MLE may be on the boundary of the parameter space.
330,Maximum Likelihood optimization failed to converge. Check mle_retvals
331,Retrying MixedLM optimization with lbfgs
332,The MLE may be on the boundary of the parameter space.
333,Maximum Likelihood optimization failed to converge. Check mle_retvals
334,Retrying MixedLM optimization with lbfgs
335,The MLE may be on the boundary of the parameter space.
336,Maximum Likelihood optimization failed to converge. Check mle_retvals
337,Retrying MixedLM optimization with lbfgs
338,The MLE may be on the boundary of the parameter space.
339,Maximum Likelihood optimization failed to converge. Check mle_retvals
340,Retrying MixedLM optimization with lbfgs
341,The MLE may be on the boundary of the parameter space.
342,Maximum Likelihood optimization failed to converge. Check mle_retvals
343,Retrying MixedLM optimization with lbfgs
344,The MLE may be on the boundary of the parameter space.
345,Maximum Likelihood optimization failed to converge. Check mle_retvals
346,Retrying MixedLM optimization with lbfgs
347,The MLE may be on the boundary of the parameter space.
