,0
595,The MLE may be on the boundary of the parameter space.
596,Maximum Likelihood optimization failed to converge. Check mle_retvals
597,Retrying MixedLM optimization with lbfgs
598,The MLE may be on the boundary of the parameter space.
599,The MLE may be on the boundary of the parameter space.
600,Maximum Likelihood optimization failed to converge. Check mle_retvals
601,Retrying MixedLM optimization with lbfgs
602,The MLE may be on the boundary of the parameter space.
603,Maximum Likelihood optimization failed to converge. Check mle_retvals
604,Retrying MixedLM optimization with lbfgs
605,The MLE may be on the boundary of the parameter space.
606,The MLE may be on the boundary of the parameter space.
607,Maximum Likelihood optimization failed to converge. Check mle_retvals
608,Retrying MixedLM optimization with lbfgs
609,The MLE may be on the boundary of the parameter space.
610,Maximum Likelihood optimization failed to converge. Check mle_retvals
611,Retrying MixedLM optimization with lbfgs
612,The MLE may be on the boundary of the parameter space.
613,Maximum Likelihood optimization failed to converge. Check mle_retvals
614,Retrying MixedLM optimization with lbfgs
615,The MLE may be on the boundary of the parameter space.
616,Maximum Likelihood optimization failed to converge. Check mle_retvals
617,Retrying MixedLM optimization with lbfgs
618,The MLE may be on the boundary of the parameter space.
619,Maximum Likelihood optimization failed to converge. Check mle_retvals
620,Retrying MixedLM optimization with lbfgs
621,The MLE may be on the boundary of the parameter space.
622,Maximum Likelihood optimization failed to converge. Check mle_retvals
623,Retrying MixedLM optimization with lbfgs
624,The MLE may be on the boundary of the parameter space.
625,Maximum Likelihood optimization failed to converge. Check mle_retvals
626,Retrying MixedLM optimization with lbfgs
627,The MLE may be on the boundary of the parameter space.
628,Maximum Likelihood optimization failed to converge. Check mle_retvals
629,Retrying MixedLM optimization with lbfgs
630,The MLE may be on the boundary of the parameter space.
631,Maximum Likelihood optimization failed to converge. Check mle_retvals
632,Retrying MixedLM optimization with lbfgs
633,The MLE may be on the boundary of the parameter space.
634,Maximum Likelihood optimization failed to converge. Check mle_retvals
635,Retrying MixedLM optimization with lbfgs
636,The MLE may be on the boundary of the parameter space.
637,Maximum Likelihood optimization failed to converge. Check mle_retvals
638,Retrying MixedLM optimization with lbfgs
639,The MLE may be on the boundary of the parameter space.
640,Maximum Likelihood optimization failed to converge. Check mle_retvals
641,Retrying MixedLM optimization with lbfgs
642,The MLE may be on the boundary of the parameter space.
643,Maximum Likelihood optimization failed to converge. Check mle_retvals
644,Retrying MixedLM optimization with lbfgs
645,The MLE may be on the boundary of the parameter space.
646,Maximum Likelihood optimization failed to converge. Check mle_retvals
647,Retrying MixedLM optimization with lbfgs
648,The MLE may be on the boundary of the parameter space.
649,Maximum Likelihood optimization failed to converge. Check mle_retvals
650,Retrying MixedLM optimization with lbfgs
651,The MLE may be on the boundary of the parameter space.
652,Maximum Likelihood optimization failed to converge. Check mle_retvals
653,Retrying MixedLM optimization with lbfgs
654,The MLE may be on the boundary of the parameter space.
655,Maximum Likelihood optimization failed to converge. Check mle_retvals
656,Retrying MixedLM optimization with lbfgs
657,The MLE may be on the boundary of the parameter space.
658,Maximum Likelihood optimization failed to converge. Check mle_retvals
659,Retrying MixedLM optimization with lbfgs
660,The MLE may be on the boundary of the parameter space.
661,Maximum Likelihood optimization failed to converge. Check mle_retvals
662,Retrying MixedLM optimization with lbfgs
663,The MLE may be on the boundary of the parameter space.
664,Maximum Likelihood optimization failed to converge. Check mle_retvals
665,Retrying MixedLM optimization with lbfgs
666,The MLE may be on the boundary of the parameter space.
667,Maximum Likelihood optimization failed to converge. Check mle_retvals
668,Retrying MixedLM optimization with lbfgs
669,The MLE may be on the boundary of the parameter space.
670,Maximum Likelihood optimization failed to converge. Check mle_retvals
671,Retrying MixedLM optimization with lbfgs
672,The MLE may be on the boundary of the parameter space.
673,Maximum Likelihood optimization failed to converge. Check mle_retvals
674,Retrying MixedLM optimization with lbfgs
675,The MLE may be on the boundary of the parameter space.
676,Maximum Likelihood optimization failed to converge. Check mle_retvals
677,Retrying MixedLM optimization with lbfgs
678,The MLE may be on the boundary of the parameter space.
679,Maximum Likelihood optimization failed to converge. Check mle_retvals
680,Retrying MixedLM optimization with lbfgs
681,The MLE may be on the boundary of the parameter space.
682,Maximum Likelihood optimization failed to converge. Check mle_retvals
683,Retrying MixedLM optimization with lbfgs
684,The MLE may be on the boundary of the parameter space.
685,Maximum Likelihood optimization failed to converge. Check mle_retvals
686,Retrying MixedLM optimization with lbfgs
687,The MLE may be on the boundary of the parameter space.
688,Maximum Likelihood optimization failed to converge. Check mle_retvals
689,Retrying MixedLM optimization with lbfgs
690,The MLE may be on the boundary of the parameter space.
691,Maximum Likelihood optimization failed to converge. Check mle_retvals
692,Retrying MixedLM optimization with lbfgs
693,The MLE may be on the boundary of the parameter space.
694,Maximum Likelihood optimization failed to converge. Check mle_retvals
695,Retrying MixedLM optimization with lbfgs
696,The MLE may be on the boundary of the parameter space.
697,Maximum Likelihood optimization failed to converge. Check mle_retvals
698,Retrying MixedLM optimization with lbfgs
699,The MLE may be on the boundary of the parameter space.
700,Maximum Likelihood optimization failed to converge. Check mle_retvals
701,Retrying MixedLM optimization with lbfgs
702,The MLE may be on the boundary of the parameter space.
703,Maximum Likelihood optimization failed to converge. Check mle_retvals
704,Retrying MixedLM optimization with lbfgs
705,The MLE may be on the boundary of the parameter space.
706,Maximum Likelihood optimization failed to converge. Check mle_retvals
707,Retrying MixedLM optimization with lbfgs
708,The MLE may be on the boundary of the parameter space.
709,The MLE may be on the boundary of the parameter space.
710,Maximum Likelihood optimization failed to converge. Check mle_retvals
711,Retrying MixedLM optimization with lbfgs
712,The MLE may be on the boundary of the parameter space.
713,Maximum Likelihood optimization failed to converge. Check mle_retvals
714,Retrying MixedLM optimization with lbfgs
715,The MLE may be on the boundary of the parameter space.
716,Maximum Likelihood optimization failed to converge. Check mle_retvals
717,Retrying MixedLM optimization with lbfgs
718,The MLE may be on the boundary of the parameter space.
719,The MLE may be on the boundary of the parameter space.
720,The MLE may be on the boundary of the parameter space.
721,Maximum Likelihood optimization failed to converge. Check mle_retvals
722,Retrying MixedLM optimization with lbfgs
723,The MLE may be on the boundary of the parameter space.
724,The MLE may be on the boundary of the parameter space.
725,Maximum Likelihood optimization failed to converge. Check mle_retvals
726,Retrying MixedLM optimization with lbfgs
727,The MLE may be on the boundary of the parameter space.
728,Maximum Likelihood optimization failed to converge. Check mle_retvals
729,Retrying MixedLM optimization with lbfgs
730,The MLE may be on the boundary of the parameter space.
731,Maximum Likelihood optimization failed to converge. Check mle_retvals
732,Retrying MixedLM optimization with lbfgs
733,The MLE may be on the boundary of the parameter space.
734,Maximum Likelihood optimization failed to converge. Check mle_retvals
735,Retrying MixedLM optimization with lbfgs
736,The MLE may be on the boundary of the parameter space.
737,The MLE may be on the boundary of the parameter space.
738,The MLE may be on the boundary of the parameter space.
739,Maximum Likelihood optimization failed to converge. Check mle_retvals
740,Retrying MixedLM optimization with lbfgs
741,The MLE may be on the boundary of the parameter space.
742,Maximum Likelihood optimization failed to converge. Check mle_retvals
743,Retrying MixedLM optimization with lbfgs
744,The MLE may be on the boundary of the parameter space.
745,The MLE may be on the boundary of the parameter space.
746,Maximum Likelihood optimization failed to converge. Check mle_retvals
747,Retrying MixedLM optimization with lbfgs
748,The MLE may be on the boundary of the parameter space.
749,Maximum Likelihood optimization failed to converge. Check mle_retvals
750,Retrying MixedLM optimization with lbfgs
751,The MLE may be on the boundary of the parameter space.
752,Maximum Likelihood optimization failed to converge. Check mle_retvals
753,Retrying MixedLM optimization with lbfgs
754,The MLE may be on the boundary of the parameter space.
755,Maximum Likelihood optimization failed to converge. Check mle_retvals
756,Retrying MixedLM optimization with lbfgs
757,The MLE may be on the boundary of the parameter space.
758,Maximum Likelihood optimization failed to converge. Check mle_retvals
759,Retrying MixedLM optimization with lbfgs
760,The MLE may be on the boundary of the parameter space.
761,The MLE may be on the boundary of the parameter space.
762,The MLE may be on the boundary of the parameter space.
763,Maximum Likelihood optimization failed to converge. Check mle_retvals
764,Retrying MixedLM optimization with lbfgs
765,The MLE may be on the boundary of the parameter space.
766,Maximum Likelihood optimization failed to converge. Check mle_retvals
767,Retrying MixedLM optimization with lbfgs
768,The MLE may be on the boundary of the parameter space.
769,Maximum Likelihood optimization failed to converge. Check mle_retvals
770,Retrying MixedLM optimization with lbfgs
771,The MLE may be on the boundary of the parameter space.
772,Maximum Likelihood optimization failed to converge. Check mle_retvals
773,Retrying MixedLM optimization with lbfgs
774,The MLE may be on the boundary of the parameter space.
775,The MLE may be on the boundary of the parameter space.
776,The MLE may be on the boundary of the parameter space.
777,Maximum Likelihood optimization failed to converge. Check mle_retvals
778,Retrying MixedLM optimization with lbfgs
779,The MLE may be on the boundary of the parameter space.
780,Maximum Likelihood optimization failed to converge. Check mle_retvals
781,Retrying MixedLM optimization with lbfgs
782,The MLE may be on the boundary of the parameter space.
783,The MLE may be on the boundary of the parameter space.
784,Maximum Likelihood optimization failed to converge. Check mle_retvals
785,Retrying MixedLM optimization with lbfgs
786,The MLE may be on the boundary of the parameter space.
787,Maximum Likelihood optimization failed to converge. Check mle_retvals
788,Retrying MixedLM optimization with lbfgs
789,The MLE may be on the boundary of the parameter space.
790,The MLE may be on the boundary of the parameter space.
791,Maximum Likelihood optimization failed to converge. Check mle_retvals
792,Retrying MixedLM optimization with lbfgs
793,The MLE may be on the boundary of the parameter space.
794,The MLE may be on the boundary of the parameter space.
795,Maximum Likelihood optimization failed to converge. Check mle_retvals
796,Retrying MixedLM optimization with lbfgs
797,The MLE may be on the boundary of the parameter space.
798,Maximum Likelihood optimization failed to converge. Check mle_retvals
799,Retrying MixedLM optimization with lbfgs
800,The MLE may be on the boundary of the parameter space.
801,Maximum Likelihood optimization failed to converge. Check mle_retvals
802,Retrying MixedLM optimization with lbfgs
803,The MLE may be on the boundary of the parameter space.
804,The MLE may be on the boundary of the parameter space.
805,Maximum Likelihood optimization failed to converge. Check mle_retvals
806,Retrying MixedLM optimization with lbfgs
807,The MLE may be on the boundary of the parameter space.
808,Maximum Likelihood optimization failed to converge. Check mle_retvals
809,Retrying MixedLM optimization with lbfgs
810,The MLE may be on the boundary of the parameter space.
811,Maximum Likelihood optimization failed to converge. Check mle_retvals
812,Retrying MixedLM optimization with lbfgs
813,The MLE may be on the boundary of the parameter space.
814,Maximum Likelihood optimization failed to converge. Check mle_retvals
815,Retrying MixedLM optimization with lbfgs
816,The MLE may be on the boundary of the parameter space.
817,The MLE may be on the boundary of the parameter space.
818,Maximum Likelihood optimization failed to converge. Check mle_retvals
819,Retrying MixedLM optimization with lbfgs
820,The MLE may be on the boundary of the parameter space.
821,Maximum Likelihood optimization failed to converge. Check mle_retvals
822,Retrying MixedLM optimization with lbfgs
823,The MLE may be on the boundary of the parameter space.
824,Maximum Likelihood optimization failed to converge. Check mle_retvals
825,Retrying MixedLM optimization with lbfgs
826,The MLE may be on the boundary of the parameter space.
827,Maximum Likelihood optimization failed to converge. Check mle_retvals
828,Retrying MixedLM optimization with lbfgs
829,The MLE may be on the boundary of the parameter space.
830,Maximum Likelihood optimization failed to converge. Check mle_retvals
831,Retrying MixedLM optimization with lbfgs
832,The MLE may be on the boundary of the parameter space.
833,Maximum Likelihood optimization failed to converge. Check mle_retvals
834,Retrying MixedLM optimization with lbfgs
835,The MLE may be on the boundary of the parameter space.
836,Maximum Likelihood optimization failed to converge. Check mle_retvals
837,Retrying MixedLM optimization with lbfgs
838,The MLE may be on the boundary of the parameter space.
839,Maximum Likelihood optimization failed to converge. Check mle_retvals
840,Retrying MixedLM optimization with lbfgs
841,The MLE may be on the boundary of the parameter space.
842,Maximum Likelihood optimization failed to converge. Check mle_retvals
843,Retrying MixedLM optimization with lbfgs
844,The MLE may be on the boundary of the parameter space.
845,Maximum Likelihood optimization failed to converge. Check mle_retvals
846,Retrying MixedLM optimization with lbfgs
847,The MLE may be on the boundary of the parameter space.
848,Maximum Likelihood optimization failed to converge. Check mle_retvals
849,Retrying MixedLM optimization with lbfgs
850,The MLE may be on the boundary of the parameter space.
851,Maximum Likelihood optimization failed to converge. Check mle_retvals
852,Retrying MixedLM optimization with lbfgs
853,The MLE may be on the boundary of the parameter space.
854,Maximum Likelihood optimization failed to converge. Check mle_retvals
855,Retrying MixedLM optimization with lbfgs
856,The MLE may be on the boundary of the parameter space.
857,Maximum Likelihood optimization failed to converge. Check mle_retvals
858,Retrying MixedLM optimization with lbfgs
859,The MLE may be on the boundary of the parameter space.
860,Maximum Likelihood optimization failed to converge. Check mle_retvals
861,Retrying MixedLM optimization with lbfgs
862,The MLE may be on the boundary of the parameter space.
863,Maximum Likelihood optimization failed to converge. Check mle_retvals
864,Retrying MixedLM optimization with lbfgs
865,The MLE may be on the boundary of the parameter space.
866,Maximum Likelihood optimization failed to converge. Check mle_retvals
867,Retrying MixedLM optimization with lbfgs
868,The MLE may be on the boundary of the parameter space.
869,Maximum Likelihood optimization failed to converge. Check mle_retvals
870,Retrying MixedLM optimization with lbfgs
871,The MLE may be on the boundary of the parameter space.
872,Maximum Likelihood optimization failed to converge. Check mle_retvals
873,Retrying MixedLM optimization with lbfgs
874,The MLE may be on the boundary of the parameter space.
875,Maximum Likelihood optimization failed to converge. Check mle_retvals
876,Retrying MixedLM optimization with lbfgs
877,The MLE may be on the boundary of the parameter space.
878,Maximum Likelihood optimization failed to converge. Check mle_retvals
879,Retrying MixedLM optimization with lbfgs
880,The MLE may be on the boundary of the parameter space.
881,Maximum Likelihood optimization failed to converge. Check mle_retvals
882,Retrying MixedLM optimization with lbfgs
883,The MLE may be on the boundary of the parameter space.
884,Maximum Likelihood optimization failed to converge. Check mle_retvals
885,Retrying MixedLM optimization with lbfgs
886,The MLE may be on the boundary of the parameter space.
887,Maximum Likelihood optimization failed to converge. Check mle_retvals
888,Retrying MixedLM optimization with lbfgs
889,The MLE may be on the boundary of the parameter space.
890,Maximum Likelihood optimization failed to converge. Check mle_retvals
891,Retrying MixedLM optimization with lbfgs
892,The MLE may be on the boundary of the parameter space.
893,Maximum Likelihood optimization failed to converge. Check mle_retvals
894,Retrying MixedLM optimization with lbfgs
895,The MLE may be on the boundary of the parameter space.
896,Maximum Likelihood optimization failed to converge. Check mle_retvals
897,Retrying MixedLM optimization with lbfgs
898,The MLE may be on the boundary of the parameter space.
899,Maximum Likelihood optimization failed to converge. Check mle_retvals
900,Retrying MixedLM optimization with lbfgs
901,The MLE may be on the boundary of the parameter space.
902,Maximum Likelihood optimization failed to converge. Check mle_retvals
903,Retrying MixedLM optimization with lbfgs
904,The MLE may be on the boundary of the parameter space.
905,Maximum Likelihood optimization failed to converge. Check mle_retvals
906,Retrying MixedLM optimization with lbfgs
907,The MLE may be on the boundary of the parameter space.
908,Maximum Likelihood optimization failed to converge. Check mle_retvals
909,Retrying MixedLM optimization with lbfgs
910,The MLE may be on the boundary of the parameter space.
911,Maximum Likelihood optimization failed to converge. Check mle_retvals
912,Retrying MixedLM optimization with lbfgs
913,The MLE may be on the boundary of the parameter space.
914,Maximum Likelihood optimization failed to converge. Check mle_retvals
915,Retrying MixedLM optimization with lbfgs
916,The MLE may be on the boundary of the parameter space.
917,Maximum Likelihood optimization failed to converge. Check mle_retvals
918,Retrying MixedLM optimization with lbfgs
919,The MLE may be on the boundary of the parameter space.
920,Maximum Likelihood optimization failed to converge. Check mle_retvals
921,Retrying MixedLM optimization with lbfgs
922,The MLE may be on the boundary of the parameter space.
923,The MLE may be on the boundary of the parameter space.
924,Maximum Likelihood optimization failed to converge. Check mle_retvals
925,Retrying MixedLM optimization with lbfgs
926,The MLE may be on the boundary of the parameter space.
927,The MLE may be on the boundary of the parameter space.
928,Maximum Likelihood optimization failed to converge. Check mle_retvals
929,Retrying MixedLM optimization with lbfgs
930,The MLE may be on the boundary of the parameter space.
931,Maximum Likelihood optimization failed to converge. Check mle_retvals
932,Retrying MixedLM optimization with lbfgs
933,The MLE may be on the boundary of the parameter space.
934,The MLE may be on the boundary of the parameter space.
935,The MLE may be on the boundary of the parameter space.
936,Maximum Likelihood optimization failed to converge. Check mle_retvals
937,Retrying MixedLM optimization with lbfgs
938,The MLE may be on the boundary of the parameter space.
939,The MLE may be on the boundary of the parameter space.
940,Maximum Likelihood optimization failed to converge. Check mle_retvals
941,Retrying MixedLM optimization with lbfgs
942,The MLE may be on the boundary of the parameter space.
943,The MLE may be on the boundary of the parameter space.
944,Maximum Likelihood optimization failed to converge. Check mle_retvals
945,Retrying MixedLM optimization with lbfgs
946,The MLE may be on the boundary of the parameter space.
947,Maximum Likelihood optimization failed to converge. Check mle_retvals
948,Retrying MixedLM optimization with lbfgs
949,The MLE may be on the boundary of the parameter space.
950,The MLE may be on the boundary of the parameter space.
951,The MLE may be on the boundary of the parameter space.
952,Maximum Likelihood optimization failed to converge. Check mle_retvals
953,Retrying MixedLM optimization with lbfgs
954,The MLE may be on the boundary of the parameter space.
955,The MLE may be on the boundary of the parameter space.
956,Maximum Likelihood optimization failed to converge. Check mle_retvals
957,Retrying MixedLM optimization with lbfgs
958,The MLE may be on the boundary of the parameter space.
959,Maximum Likelihood optimization failed to converge. Check mle_retvals
960,Retrying MixedLM optimization with lbfgs
961,The MLE may be on the boundary of the parameter space.
962,The MLE may be on the boundary of the parameter space.
963,The MLE may be on the boundary of the parameter space.
964,Maximum Likelihood optimization failed to converge. Check mle_retvals
965,Retrying MixedLM optimization with lbfgs
966,The MLE may be on the boundary of the parameter space.
967,Maximum Likelihood optimization failed to converge. Check mle_retvals
968,Retrying MixedLM optimization with lbfgs
969,The MLE may be on the boundary of the parameter space.
970,Maximum Likelihood optimization failed to converge. Check mle_retvals
971,Retrying MixedLM optimization with lbfgs
972,The MLE may be on the boundary of the parameter space.
973,The MLE may be on the boundary of the parameter space.
974,Maximum Likelihood optimization failed to converge. Check mle_retvals
975,Retrying MixedLM optimization with lbfgs
976,The MLE may be on the boundary of the parameter space.
977,The MLE may be on the boundary of the parameter space.
978,The MLE may be on the boundary of the parameter space.
979,Maximum Likelihood optimization failed to converge. Check mle_retvals
980,Retrying MixedLM optimization with lbfgs
981,The MLE may be on the boundary of the parameter space.
982,Maximum Likelihood optimization failed to converge. Check mle_retvals
983,Retrying MixedLM optimization with lbfgs
984,The MLE may be on the boundary of the parameter space.
985,The MLE may be on the boundary of the parameter space.
986,Maximum Likelihood optimization failed to converge. Check mle_retvals
987,Retrying MixedLM optimization with lbfgs
988,The MLE may be on the boundary of the parameter space.
989,Maximum Likelihood optimization failed to converge. Check mle_retvals
990,Retrying MixedLM optimization with lbfgs
991,The MLE may be on the boundary of the parameter space.
992,Maximum Likelihood optimization failed to converge. Check mle_retvals
993,Retrying MixedLM optimization with lbfgs
994,The MLE may be on the boundary of the parameter space.
995,Maximum Likelihood optimization failed to converge. Check mle_retvals
996,Retrying MixedLM optimization with lbfgs
997,The MLE may be on the boundary of the parameter space.
998,The MLE may be on the boundary of the parameter space.
999,Maximum Likelihood optimization failed to converge. Check mle_retvals
1000,Retrying MixedLM optimization with lbfgs
1001,The MLE may be on the boundary of the parameter space.
1002,Maximum Likelihood optimization failed to converge. Check mle_retvals
1003,Retrying MixedLM optimization with lbfgs
1004,The MLE may be on the boundary of the parameter space.
1005,Maximum Likelihood optimization failed to converge. Check mle_retvals
1006,Retrying MixedLM optimization with lbfgs
1007,The MLE may be on the boundary of the parameter space.
1008,Maximum Likelihood optimization failed to converge. Check mle_retvals
1009,Retrying MixedLM optimization with lbfgs
1010,The MLE may be on the boundary of the parameter space.
1011,Maximum Likelihood optimization failed to converge. Check mle_retvals
1012,Retrying MixedLM optimization with lbfgs
1013,The MLE may be on the boundary of the parameter space.
1014,Maximum Likelihood optimization failed to converge. Check mle_retvals
1015,Retrying MixedLM optimization with lbfgs
1016,The MLE may be on the boundary of the parameter space.
1017,Maximum Likelihood optimization failed to converge. Check mle_retvals
1018,Retrying MixedLM optimization with lbfgs
1019,The MLE may be on the boundary of the parameter space.
1020,Maximum Likelihood optimization failed to converge. Check mle_retvals
1021,Retrying MixedLM optimization with lbfgs
1022,The MLE may be on the boundary of the parameter space.
1023,Maximum Likelihood optimization failed to converge. Check mle_retvals
1024,Retrying MixedLM optimization with lbfgs
1025,The MLE may be on the boundary of the parameter space.
1026,Maximum Likelihood optimization failed to converge. Check mle_retvals
1027,Retrying MixedLM optimization with lbfgs
1028,The MLE may be on the boundary of the parameter space.
1029,Maximum Likelihood optimization failed to converge. Check mle_retvals
1030,Retrying MixedLM optimization with lbfgs
1031,The MLE may be on the boundary of the parameter space.
1032,Maximum Likelihood optimization failed to converge. Check mle_retvals
1033,Retrying MixedLM optimization with lbfgs
1034,The MLE may be on the boundary of the parameter space.
1035,Maximum Likelihood optimization failed to converge. Check mle_retvals
1036,Retrying MixedLM optimization with lbfgs
1037,The MLE may be on the boundary of the parameter space.
1038,Maximum Likelihood optimization failed to converge. Check mle_retvals
1039,Retrying MixedLM optimization with lbfgs
1040,The MLE may be on the boundary of the parameter space.
1041,Maximum Likelihood optimization failed to converge. Check mle_retvals
1042,Retrying MixedLM optimization with lbfgs
1043,The MLE may be on the boundary of the parameter space.
1044,Maximum Likelihood optimization failed to converge. Check mle_retvals
1045,Retrying MixedLM optimization with lbfgs
1046,The MLE may be on the boundary of the parameter space.
1047,Maximum Likelihood optimization failed to converge. Check mle_retvals
1048,Retrying MixedLM optimization with lbfgs
1049,The MLE may be on the boundary of the parameter space.
1050,Maximum Likelihood optimization failed to converge. Check mle_retvals
1051,Retrying MixedLM optimization with lbfgs
1052,The MLE may be on the boundary of the parameter space.
1053,Maximum Likelihood optimization failed to converge. Check mle_retvals
1054,Retrying MixedLM optimization with lbfgs
1055,The MLE may be on the boundary of the parameter space.
1056,Maximum Likelihood optimization failed to converge. Check mle_retvals
1057,Retrying MixedLM optimization with lbfgs
1058,The MLE may be on the boundary of the parameter space.
1059,Maximum Likelihood optimization failed to converge. Check mle_retvals
1060,Retrying MixedLM optimization with lbfgs
1061,The MLE may be on the boundary of the parameter space.
1062,Maximum Likelihood optimization failed to converge. Check mle_retvals
1063,Retrying MixedLM optimization with lbfgs
1064,The MLE may be on the boundary of the parameter space.
1065,Maximum Likelihood optimization failed to converge. Check mle_retvals
1066,Retrying MixedLM optimization with lbfgs
1067,The MLE may be on the boundary of the parameter space.
1068,Maximum Likelihood optimization failed to converge. Check mle_retvals
1069,Retrying MixedLM optimization with lbfgs
1070,The MLE may be on the boundary of the parameter space.
1071,Maximum Likelihood optimization failed to converge. Check mle_retvals
1072,Retrying MixedLM optimization with lbfgs
1073,The MLE may be on the boundary of the parameter space.
1074,Maximum Likelihood optimization failed to converge. Check mle_retvals
1075,Retrying MixedLM optimization with lbfgs
1076,The MLE may be on the boundary of the parameter space.
1077,Maximum Likelihood optimization failed to converge. Check mle_retvals
1078,Retrying MixedLM optimization with lbfgs
1079,The MLE may be on the boundary of the parameter space.
1080,Maximum Likelihood optimization failed to converge. Check mle_retvals
1081,Retrying MixedLM optimization with lbfgs
1082,The MLE may be on the boundary of the parameter space.
1083,Maximum Likelihood optimization failed to converge. Check mle_retvals
1084,Retrying MixedLM optimization with lbfgs
1085,The MLE may be on the boundary of the parameter space.
1086,Maximum Likelihood optimization failed to converge. Check mle_retvals
1087,Retrying MixedLM optimization with lbfgs
1088,The MLE may be on the boundary of the parameter space.
1089,Maximum Likelihood optimization failed to converge. Check mle_retvals
1090,Retrying MixedLM optimization with lbfgs
1091,The MLE may be on the boundary of the parameter space.
1092,Maximum Likelihood optimization failed to converge. Check mle_retvals
1093,Retrying MixedLM optimization with lbfgs
1094,The MLE may be on the boundary of the parameter space.
1095,The MLE may be on the boundary of the parameter space.
1096,Maximum Likelihood optimization failed to converge. Check mle_retvals
1097,Retrying MixedLM optimization with lbfgs
1098,The MLE may be on the boundary of the parameter space.
1099,Maximum Likelihood optimization failed to converge. Check mle_retvals
1100,Retrying MixedLM optimization with lbfgs
1101,The MLE may be on the boundary of the parameter space.
1102,Maximum Likelihood optimization failed to converge. Check mle_retvals
1103,Retrying MixedLM optimization with lbfgs
1104,The MLE may be on the boundary of the parameter space.
1105,The MLE may be on the boundary of the parameter space.
1106,Maximum Likelihood optimization failed to converge. Check mle_retvals
1107,Retrying MixedLM optimization with lbfgs
1108,The MLE may be on the boundary of the parameter space.
1109,Maximum Likelihood optimization failed to converge. Check mle_retvals
1110,Retrying MixedLM optimization with lbfgs
1111,The MLE may be on the boundary of the parameter space.
1112,Maximum Likelihood optimization failed to converge. Check mle_retvals
1113,Retrying MixedLM optimization with lbfgs
1114,The MLE may be on the boundary of the parameter space.
1115,The MLE may be on the boundary of the parameter space.
1116,Maximum Likelihood optimization failed to converge. Check mle_retvals
1117,Retrying MixedLM optimization with lbfgs
1118,The MLE may be on the boundary of the parameter space.
1119,The MLE may be on the boundary of the parameter space.
1120,Maximum Likelihood optimization failed to converge. Check mle_retvals
1121,Retrying MixedLM optimization with lbfgs
1122,The MLE may be on the boundary of the parameter space.
1123,Maximum Likelihood optimization failed to converge. Check mle_retvals
1124,Retrying MixedLM optimization with lbfgs
1125,The MLE may be on the boundary of the parameter space.
1126,The MLE may be on the boundary of the parameter space.
1127,Maximum Likelihood optimization failed to converge. Check mle_retvals
1128,Retrying MixedLM optimization with lbfgs
1129,The MLE may be on the boundary of the parameter space.
1130,Maximum Likelihood optimization failed to converge. Check mle_retvals
1131,Retrying MixedLM optimization with lbfgs
1132,The MLE may be on the boundary of the parameter space.
1133,The MLE may be on the boundary of the parameter space.
1134,Maximum Likelihood optimization failed to converge. Check mle_retvals
1135,Retrying MixedLM optimization with lbfgs
1136,The MLE may be on the boundary of the parameter space.
1137,Maximum Likelihood optimization failed to converge. Check mle_retvals
1138,Retrying MixedLM optimization with lbfgs
1139,The MLE may be on the boundary of the parameter space.
1140,The MLE may be on the boundary of the parameter space.
1141,Maximum Likelihood optimization failed to converge. Check mle_retvals
1142,Retrying MixedLM optimization with lbfgs
1143,The MLE may be on the boundary of the parameter space.
1144,Maximum Likelihood optimization failed to converge. Check mle_retvals
1145,Retrying MixedLM optimization with lbfgs
1146,The MLE may be on the boundary of the parameter space.
1147,Maximum Likelihood optimization failed to converge. Check mle_retvals
1148,Retrying MixedLM optimization with lbfgs
1149,The MLE may be on the boundary of the parameter space.
1150,The MLE may be on the boundary of the parameter space.
1151,The MLE may be on the boundary of the parameter space.
1152,Maximum Likelihood optimization failed to converge. Check mle_retvals
1153,Retrying MixedLM optimization with lbfgs
1154,The MLE may be on the boundary of the parameter space.
1155,Maximum Likelihood optimization failed to converge. Check mle_retvals
1156,Retrying MixedLM optimization with lbfgs
1157,The MLE may be on the boundary of the parameter space.
1158,Maximum Likelihood optimization failed to converge. Check mle_retvals
1159,Retrying MixedLM optimization with lbfgs
1160,The MLE may be on the boundary of the parameter space.
1161,The MLE may be on the boundary of the parameter space.
1162,The MLE may be on the boundary of the parameter space.
1163,Maximum Likelihood optimization failed to converge. Check mle_retvals
1164,Retrying MixedLM optimization with lbfgs
1165,The MLE may be on the boundary of the parameter space.
1166,The MLE may be on the boundary of the parameter space.
1167,The MLE may be on the boundary of the parameter space.
1168,Maximum Likelihood optimization failed to converge. Check mle_retvals
1169,Retrying MixedLM optimization with lbfgs
1170,The MLE may be on the boundary of the parameter space.
1171,The MLE may be on the boundary of the parameter space.
1172,Maximum Likelihood optimization failed to converge. Check mle_retvals
1173,Retrying MixedLM optimization with lbfgs
1174,The MLE may be on the boundary of the parameter space.
1175,Maximum Likelihood optimization failed to converge. Check mle_retvals
1176,Retrying MixedLM optimization with lbfgs
1177,The MLE may be on the boundary of the parameter space.
1178,Maximum Likelihood optimization failed to converge. Check mle_retvals
1179,Retrying MixedLM optimization with lbfgs
1180,The MLE may be on the boundary of the parameter space.
1181,The MLE may be on the boundary of the parameter space.
1182,Maximum Likelihood optimization failed to converge. Check mle_retvals
1183,Retrying MixedLM optimization with lbfgs
